id;mode;from_country;from_country_key;to_country;to_country_key;points;year
13789;FINAL;Austria;AUT;Denmark;DK;2;1959
13790;FINAL;United Kingdom;UK;Denmark;DK;2;1959
13791;FINAL;Sweden;S;Denmark;DK;4;1959
13792;FINAL;Switzerland;CH;France;F;1;1959
13793;FINAL;Italy;I;France;F;1;1959
13794;FINAL;Austria;AUT;France;F;1;1959
13795;FINAL;Monaco;MC;France;F;2;1959
13796;FINAL;Belgium;B;France;F;2;1959
13797;FINAL;Denmark;DK;France;F;4;1959
13798;FINAL;Germany;D;France;F;4;1959
13799;FINAL;Italy;I;Germany;D;1;1959
13800;FINAL;Switzerland;CH;Germany;D;1;1959
13801;FINAL;Belgium;B;Germany;D;1;1959
13802;FINAL;France;F;Germany;D;2;1959
13803;FINAL;Monaco;MC;Italy;I;1;1959
13804;FINAL;Sweden;S;Italy;I;1;1959
13805;FINAL;Belgium;B;Italy;I;1;1959
13806;FINAL;Switzerland;CH;Italy;I;3;1959
13807;FINAL;France;F;Italy;I;3;1959
13808;FINAL;Austria;AUT;Monaco;MC;1;1959
13809;FINAL;Denmark;DK;Sweden;S;1;1959
13810;FINAL;The Netherlands;NL;Sweden;S;3;1959
13811;FINAL;Monaco;MC;Switzerland;CH;1;1959
13812;FINAL;Belgium;B;Switzerland;CH;1;1959
13813;FINAL;Austria;AUT;Switzerland;CH;1;1959
13814;FINAL;Germany;D;Switzerland;CH;1;1959
13815;FINAL;Denmark;DK;Switzerland;CH;2;1959
13816;FINAL;Sweden;S;Switzerland;CH;3;1959
13817;FINAL;United Kingdom;UK;Switzerland;CH;5;1959
13818;FINAL;United Kingdom;UK;The Netherlands;NL;1;1959
13819;FINAL;Monaco;MC;The Netherlands;NL;1;1959
13820;FINAL;Germany;D;The Netherlands;NL;2;1959
13821;FINAL;Austria;AUT;The Netherlands;NL;3;1959
13822;FINAL;Belgium;B;The Netherlands;NL;3;1959
13823;FINAL;France;F;The Netherlands;NL;4;1959
13824;FINAL;Italy;I;The Netherlands;NL;7;1959
13825;FINAL;Denmark;DK;United Kingdom;UK;1;1959
13826;FINAL;France;F;United Kingdom;UK;1;1959
13827;FINAL;Belgium;B;United Kingdom;UK;2;1959
13828;FINAL;Monaco;MC;United Kingdom;UK;2;1959
13829;FINAL;Austria;AUT;United Kingdom;UK;2;1959
13830;FINAL;Switzerland;CH;United Kingdom;UK;3;1959
13831;FINAL;The Netherlands;NL;United Kingdom;UK;5;1959
13832;FINAL;Belgium;B;Austria;AUT;1;1960
13833;FINAL;Italy;I;Austria;AUT;1;1960
13834;FINAL;Denmark;DK;Austria;AUT;2;1960
13835;FINAL;United Kingdom;UK;Austria;AUT;2;1960
13836;FINAL;Germany;D;Belgium;B;1;1960
13837;FINAL;Austria;AUT;Belgium;B;1;1960
13838;FINAL;Italy;I;Belgium;B;3;1960
13839;FINAL;Sweden;S;Belgium;B;4;1960
13840;FINAL;Luxembourg;LUX;Denmark;DK;1;1960
13841;FINAL;United Kingdom;UK;Denmark;DK;1;1960
13842;FINAL;Norway;N;Denmark;DK;2;1960
13843;FINAL;Luxembourg;LUX;France;F;1;1960
13844;FINAL;Austria;AUT;France;F;1;1960
13845;FINAL;Germany;D;France;F;1;1960
13846;FINAL;Switzerland;CH;France;F;1;1960
13847;FINAL;The Netherlands;NL;France;F;2;1960
13848;FINAL;Belgium;B;France;F;3;1960
13849;FINAL;Sweden;S;France;F;4;1960
13850;FINAL;Denmark;DK;France;F;4;1960
13851;FINAL;United Kingdom;UK;France;F;5;1960
13852;FINAL;Monaco;MC;France;F;5;1960
13853;FINAL;Norway;N;France;F;5;1960
13854;FINAL;Sweden;S;Germany;D;1;1960
13855;FINAL;Monaco;MC;Germany;D;2;1960
13856;FINAL;Belgium;B;Germany;D;2;1960
13857;FINAL;Austria;AUT;Germany;D;2;1960
13858;FINAL;France;F;Germany;D;4;1960
13859;FINAL;Belgium;B;Italy;I;1;1960
13860;FINAL;Luxembourg;LUX;Italy;I;1;1960
13861;FINAL;The Netherlands;NL;Italy;I;1;1960
13862;FINAL;Monaco;MC;Italy;I;2;1960
13863;FINAL;Italy;I;Luxembourg;LUX;1;1960
13864;FINAL;Switzerland;CH;Monaco;MC;1;1960
13865;FINAL;Luxembourg;LUX;Monaco;MC;1;1960
13866;FINAL;United Kingdom;UK;Monaco;MC;1;1960
13867;FINAL;Denmark;DK;Monaco;MC;2;1960
13868;FINAL;France;F;Monaco;MC;3;1960
13869;FINAL;Germany;D;Monaco;MC;7;1960
13870;FINAL;United Kingdom;UK;Norway;N;1;1960
13871;FINAL;Austria;AUT;Norway;N;1;1960
13872;FINAL;Belgium;B;Norway;N;1;1960
13873;FINAL;The Netherlands;NL;Norway;N;1;1960
13874;FINAL;France;F;Norway;N;1;1960
13875;FINAL;Denmark;DK;Norway;N;2;1960
13876;FINAL;Switzerland;CH;Norway;N;4;1960
13877;FINAL;The Netherlands;NL;Sweden;S;1;1960
13878;FINAL;Italy;I;Sweden;S;1;1960
13879;FINAL;France;F;Sweden;S;2;1960
13880;FINAL;Luxembourg;LUX;Switzerland;CH;1;1960
13881;FINAL;Norway;N;Switzerland;CH;1;1960
13882;FINAL;Italy;I;Switzerland;CH;1;1960
13883;FINAL;Austria;AUT;Switzerland;CH;2;1960
13884;FINAL;Italy;I;The Netherlands;NL;1;1960
13885;FINAL;Belgium;B;The Netherlands;NL;1;1960
13886;FINAL;Belgium;B;United Kingdom;UK;1;1960
13887;FINAL;Sweden;S;United Kingdom;UK;1;1960
13888;FINAL;Germany;D;United Kingdom;UK;1;1960
13889;FINAL;Monaco;MC;United Kingdom;UK;1;1960
13890;FINAL;Norway;N;United Kingdom;UK;2;1960
13891;FINAL;Italy;I;United Kingdom;UK;2;1960
13892;FINAL;Austria;AUT;United Kingdom;UK;3;1960
13893;FINAL;Switzerland;CH;United Kingdom;UK;4;1960
13894;FINAL;The Netherlands;NL;United Kingdom;UK;5;1960
13895;FINAL;Luxembourg;LUX;United Kingdom;UK;5;1960
13896;FINAL;United Kingdom;UK;Austria;AUT;1;1961
13897;FINAL;Luxembourg;LUX;Belgium;B;1;1961
13898;FINAL;Finland;SF;Denmark;DK;1;1961
13899;FINAL;The Netherlands;NL;Denmark;DK;1;1961
13900;FINAL;Sweden;S;Denmark;DK;2;1961
13901;FINAL;Norway;N;Denmark;DK;8;1961
13902;FINAL;Denmark;DK;Finland;SF;1;1961
13903;FINAL;France;F;Finland;SF;1;1961
13904;FINAL;Italy;I;Finland;SF;2;1961
13905;FINAL;United Kingdom;UK;Finland;SF;2;1961
13906;FINAL;Luxembourg;LUX;France;F;1;1961
13907;FINAL;Sweden;S;France;F;1;1961
13908;FINAL;Finland;SF;France;F;1;1961
13909;FINAL;Monaco;MC;France;F;2;1961
13910;FINAL;United Kingdom;UK;France;F;2;1961
13911;FINAL;Spain;E;France;F;2;1961
13912;FINAL;Germany;D;France;F;4;1961
13913;FINAL;Sweden;S;Germany;D;1;1961
13914;FINAL;Denmark;DK;Germany;D;1;1961
13915;FINAL;Austria;AUT;Germany;D;1;1961
13916;FINAL;Yugoslavia;YUG;Italy;I;1;1961
13917;FINAL;France;F;Italy;I;1;1961
13918;FINAL;The Netherlands;NL;Italy;I;1;1961
13919;FINAL;Monaco;MC;Italy;I;1;1961
13920;FINAL;Denmark;DK;Italy;I;4;1961
13921;FINAL;Belgium;B;Italy;I;4;1961
13922;FINAL;Switzerland;CH;Luxembourg;LUX;1;1961
13923;FINAL;The Netherlands;NL;Luxembourg;LUX;1;1961
13924;FINAL;France;F;Luxembourg;LUX;1;1961
13925;FINAL;Denmark;DK;Luxembourg;LUX;1;1961
13926;FINAL;Sweden;S;Luxembourg;LUX;1;1961
13927;FINAL;Spain;E;Luxembourg;LUX;2;1961
13928;FINAL;Finland;SF;Luxembourg;LUX;3;1961
13929;FINAL;Italy;I;Luxembourg;LUX;3;1961
13930;FINAL;Austria;AUT;Luxembourg;LUX;4;1961
13931;FINAL;Monaco;MC;Luxembourg;LUX;4;1961
13932;FINAL;Yugoslavia;YUG;Luxembourg;LUX;5;1961
13933;FINAL;Germany;D;Luxembourg;LUX;5;1961
13934;FINAL;Spain;E;Monaco;MC;1;1961
13935;FINAL;Switzerland;CH;Monaco;MC;1;1961
13936;FINAL;United Kingdom;UK;Monaco;MC;1;1961
13937;FINAL;Finland;SF;Monaco;MC;3;1961
13938;FINAL;Yugoslavia;YUG;Norway;N;1;1961
13939;FINAL;Denmark;DK;Norway;N;1;1961
13940;FINAL;Spain;E;Norway;N;1;1961
13941;FINAL;Finland;SF;Norway;N;2;1961
13942;FINAL;Belgium;B;Norway;N;5;1961
13943;FINAL;The Netherlands;NL;Spain;E;1;1961
13944;FINAL;Sweden;S;Spain;E;1;1961
13945;FINAL;Monaco;MC;Spain;E;1;1961
13946;FINAL;United Kingdom;UK;Spain;E;1;1961
13947;FINAL;Norway;N;Spain;E;2;1961
13948;FINAL;France;F;Spain;E;2;1961
13949;FINAL;France;F;Sweden;S;2;1961
13950;FINAL;Yugoslavia;YUG;Switzerland;CH;1;1961
13951;FINAL;Spain;E;Switzerland;CH;1;1961
13952;FINAL;Monaco;MC;Switzerland;CH;2;1961
13953;FINAL;Austria;AUT;Switzerland;CH;2;1961
13954;FINAL;The Netherlands;NL;Switzerland;CH;2;1961
13955;FINAL;United Kingdom;UK;Switzerland;CH;2;1961
13956;FINAL;Italy;I;Switzerland;CH;2;1961
13957;FINAL;Sweden;S;Switzerland;CH;4;1961
13958;FINAL;Germany;D;The Netherlands;NL;1;1961
13959;FINAL;France;F;The Netherlands;NL;1;1961
13960;FINAL;Italy;I;The Netherlands;NL;2;1961
13961;FINAL;Yugoslavia;YUG;The Netherlands;NL;2;1961
13962;FINAL;Belgium;B;United Kingdom;UK;1;1961
13963;FINAL;Denmark;DK;United Kingdom;UK;1;1961
13964;FINAL;Italy;I;United Kingdom;UK;1;1961
13965;FINAL;The Netherlands;NL;United Kingdom;UK;3;1961
13966;FINAL;Spain;E;United Kingdom;UK;3;1961
13967;FINAL;Switzerland;CH;United Kingdom;UK;7;1961
13968;FINAL;Luxembourg;LUX;United Kingdom;UK;8;1961
13969;FINAL;The Netherlands;NL;Yugoslavia;YUG;1;1961
13970;FINAL;Switzerland;CH;Yugoslavia;YUG;1;1961
13971;FINAL;United Kingdom;UK;Yugoslavia;YUG;1;1961
13972;FINAL;Denmark;DK;Yugoslavia;YUG;1;1961
13973;FINAL;France;F;Yugoslavia;YUG;2;1961
13974;FINAL;Austria;AUT;Yugoslavia;YUG;3;1961
13975;FINAL;Italy;I;Denmark;DK;1;1962
13976;FINAL;Sweden;S;Denmark;DK;1;1962
13977;FINAL;Norway;N;Finland;SF;1;1962
13978;FINAL;United Kingdom;UK;Finland;SF;3;1962
13979;FINAL;United Kingdom;UK;France;F;1;1962
13980;FINAL;Luxembourg;LUX;France;F;1;1962
13981;FINAL;Monaco;MC;France;F;1;1962
13982;FINAL;Belgium;B;France;F;2;1962
13983;FINAL;Austria;AUT;France;F;2;1962
13984;FINAL;Italy;I;France;F;2;1962
13985;FINAL;Spain;E;France;F;2;1962
13986;FINAL;Switzerland;CH;France;F;3;1962
13987;FINAL;Yugoslavia;YUG;France;F;3;1962
13988;FINAL;Sweden;S;France;F;3;1962
13989;FINAL;Germany;D;France;F;3;1962
13990;FINAL;Norway;N;France;F;3;1962
13991;FINAL;Denmark;DK;Germany;D;1;1962
13992;FINAL;The Netherlands;NL;Germany;D;2;1962
13993;FINAL;Monaco;MC;Germany;D;2;1962
13994;FINAL;Finland;SF;Germany;D;2;1962
13995;FINAL;United Kingdom;UK;Germany;D;2;1962
13996;FINAL;Yugoslavia;YUG;Italy;I;1;1962
13997;FINAL;Luxembourg;LUX;Italy;I;2;1962
13998;FINAL;Austria;AUT;Luxembourg;LUX;1;1962
13999;FINAL;Switzerland;CH;Luxembourg;LUX;1;1962
14000;FINAL;Spain;E;Luxembourg;LUX;3;1962
14001;FINAL;Belgium;B;Luxembourg;LUX;3;1962
14002;FINAL;Monaco;MC;Luxembourg;LUX;3;1962
14003;FINAL;France;F;Monaco;MC;1;1962
14004;FINAL;Germany;D;Monaco;MC;1;1962
14005;FINAL;Norway;N;Monaco;MC;2;1962
14006;FINAL;Austria;AUT;Monaco;MC;3;1962
14007;FINAL;The Netherlands;NL;Monaco;MC;3;1962
14008;FINAL;Luxembourg;LUX;Monaco;MC;3;1962
14009;FINAL;France;F;Norway;N;2;1962
14010;FINAL;The Netherlands;NL;Sweden;S;1;1962
14011;FINAL;Denmark;DK;Sweden;S;3;1962
14012;FINAL;Germany;D;Switzerland;CH;2;1962
14013;FINAL;Spain;E;United Kingdom;UK;1;1962
14014;FINAL;Denmark;DK;United Kingdom;UK;2;1962
14015;FINAL;Switzerland;CH;United Kingdom;UK;2;1962
14016;FINAL;Yugoslavia;YUG;United Kingdom;UK;2;1962
14017;FINAL;Finland;SF;United Kingdom;UK;3;1962
14018;FINAL;Finland;SF;Yugoslavia;YUG;1;1962
14019;FINAL;Belgium;B;Yugoslavia;YUG;1;1962
14020;FINAL;Sweden;S;Yugoslavia;YUG;2;1962
14021;FINAL;France;F;Yugoslavia;YUG;3;1962
14022;FINAL;Italy;I;Yugoslavia;YUG;3;1962
14023;FINAL;Denmark;DK;Austria;AUT;1;1963
14024;FINAL;Belgium;B;Austria;AUT;2;1963
14025;FINAL;France;F;Austria;AUT;2;1963
14026;FINAL;Sweden;S;Austria;AUT;3;1963
14027;FINAL;United Kingdom;UK;Austria;AUT;4;1963
14028;FINAL;Finland;SF;Austria;AUT;4;1963
14029;FINAL;Austria;AUT;Belgium;B;4;1963
14030;FINAL;Germany;D;Denmark;DK;2;1963
14031;FINAL;Italy;I;Denmark;DK;2;1963
14032;FINAL;Austria;AUT;Denmark;DK;3;1963
14033;FINAL;United Kingdom;UK;Denmark;DK;3;1963
14034;FINAL;Switzerland;CH;Denmark;DK;3;1963
14035;FINAL;Norway;N;Denmark;DK;4;1963
14036;FINAL;Finland;SF;Denmark;DK;5;1963
14037;FINAL;The Netherlands;NL;Denmark;DK;5;1963
14038;FINAL;Sweden;S;Denmark;DK;5;1963
14039;FINAL;Belgium;B;Denmark;DK;5;1963
14040;FINAL;Luxembourg;LUX;Denmark;DK;5;1963
14041;FINAL;Spain;E;France;F;1;1963
14042;FINAL;Luxembourg;LUX;France;F;1;1963
14043;FINAL;Germany;D;France;F;1;1963
14044;FINAL;Belgium;B;France;F;1;1963
14045;FINAL;Austria;AUT;France;F;2;1963
14046;FINAL;Monaco;MC;France;F;2;1963
14047;FINAL;Italy;I;France;F;4;1963
14048;FINAL;Switzerland;CH;France;F;4;1963
14049;FINAL;The Netherlands;NL;France;F;4;1963
14050;FINAL;Yugoslavia;YUG;France;F;5;1963
14051;FINAL;Norway;N;Germany;D;2;1963
14052;FINAL;Monaco;MC;Germany;D;3;1963
14053;FINAL;The Netherlands;NL;Italy;I;1;1963
14054;FINAL;Finland;SF;Italy;I;2;1963
14055;FINAL;United Kingdom;UK;Italy;I;2;1963
14056;FINAL;Norway;N;Italy;I;3;1963
14057;FINAL;Belgium;B;Italy;I;3;1963
14058;FINAL;Spain;E;Italy;I;3;1963
14059;FINAL;Yugoslavia;YUG;Italy;I;4;1963
14060;FINAL;Luxembourg;LUX;Italy;I;4;1963
14061;FINAL;Denmark;DK;Italy;I;5;1963
14062;FINAL;Monaco;MC;Italy;I;5;1963
14063;FINAL;Switzerland;CH;Italy;I;5;1963
14064;FINAL;Finland;SF;Luxembourg;LUX;1;1963
14065;FINAL;Italy;I;Luxembourg;LUX;1;1963
14066;FINAL;Switzerland;CH;Luxembourg;LUX;2;1963
14067;FINAL;Denmark;DK;Luxembourg;LUX;2;1963
14068;FINAL;Germany;D;Luxembourg;LUX;3;1963
14069;FINAL;France;F;Luxembourg;LUX;4;1963
14070;FINAL;Yugoslavia;YUG;Monaco;MC;1;1963
14071;FINAL;United Kingdom;UK;Monaco;MC;1;1963
14072;FINAL;Austria;AUT;Monaco;MC;1;1963
14073;FINAL;Switzerland;CH;Monaco;MC;1;1963
14074;FINAL;The Netherlands;NL;Monaco;MC;2;1963
14075;FINAL;Luxembourg;LUX;Monaco;MC;2;1963
14076;FINAL;Italy;I;Monaco;MC;3;1963
14077;FINAL;Sweden;S;Monaco;MC;4;1963
14078;FINAL;Germany;D;Monaco;MC;5;1963
14079;FINAL;France;F;Monaco;MC;5;1963
14080;FINAL;Yugoslavia;YUG;Spain;E;2;1963
14081;FINAL;Sweden;S;Switzerland;CH;1;1963
14082;FINAL;Norway;N;Switzerland;CH;1;1963
14083;FINAL;Luxembourg;LUX;Switzerland;CH;3;1963
14084;FINAL;Germany;D;Switzerland;CH;4;1963
14085;FINAL;Denmark;DK;Switzerland;CH;4;1963
14086;FINAL;Monaco;MC;Switzerland;CH;4;1963
14087;FINAL;Belgium;B;Switzerland;CH;4;1963
14088;FINAL;Spain;E;Switzerland;CH;4;1963
14089;FINAL;Italy;I;Switzerland;CH;5;1963
14090;FINAL;United Kingdom;UK;Switzerland;CH;5;1963
14091;FINAL;Austria;AUT;Switzerland;CH;5;1963
14092;FINAL;Monaco;MC;United Kingdom;UK;1;1963
14093;FINAL;Sweden;S;United Kingdom;UK;2;1963
14094;FINAL;The Netherlands;NL;United Kingdom;UK;3;1963
14095;FINAL;Yugoslavia;YUG;United Kingdom;UK;3;1963
14096;FINAL;Denmark;DK;United Kingdom;UK;3;1963
14097;FINAL;France;F;United Kingdom;UK;3;1963
14098;FINAL;Finland;SF;United Kingdom;UK;3;1963
14099;FINAL;Spain;E;United Kingdom;UK;5;1963
14100;FINAL;Norway;N;United Kingdom;UK;5;1963
14101;FINAL;France;F;Yugoslavia;YUG;1;1963
14102;FINAL;Spain;E;Yugoslavia;YUG;2;1963
14103;FINAL;Belgium;B;Austria;AUT;1;1964
14104;FINAL;Italy;I;Austria;AUT;5;1964
14105;FINAL;Spain;E;Austria;AUT;5;1964
14106;FINAL;Portugal;POR;Belgium;B;1;1964
14107;FINAL;Monaco;MC;Belgium;B;1;1964
14108;FINAL;Norway;N;Denmark;DK;1;1964
14109;FINAL;Spain;E;Denmark;DK;3;1964
14110;FINAL;Norway;N;Finland;SF;3;1964
14111;FINAL;United Kingdom;UK;Finland;SF;3;1964
14112;FINAL;Denmark;DK;Finland;SF;3;1964
14113;FINAL;Spain;E;France;F;1;1964
14114;FINAL;Yugoslavia;YUG;France;F;1;1964
14115;FINAL;Luxembourg;LUX;France;F;1;1964
14116;FINAL;Austria;AUT;France;F;3;1964
14117;FINAL;Portugal;POR;France;F;3;1964
14118;FINAL;Monaco;MC;France;F;5;1964
14119;FINAL;Switzerland;CH;Italy;I;3;1964
14120;FINAL;Monaco;MC;Italy;I;3;1964
14121;FINAL;Germany;D;Italy;I;3;1964
14122;FINAL;Portugal;POR;Italy;I;5;1964
14123;FINAL;United Kingdom;UK;Italy;I;5;1964
14124;FINAL;Luxembourg;LUX;Italy;I;5;1964
14125;FINAL;Belgium;B;Italy;I;5;1964
14126;FINAL;The Netherlands;NL;Italy;I;5;1964
14127;FINAL;Finland;SF;Italy;I;5;1964
14128;FINAL;Yugoslavia;YUG;Italy;I;5;1964
14129;FINAL;Austria;AUT;Italy;I;5;1964
14130;FINAL;Italy;I;Luxembourg;LUX;3;1964
14131;FINAL;France;F;Luxembourg;LUX;3;1964
14132;FINAL;The Netherlands;NL;Luxembourg;LUX;3;1964
14133;FINAL;Germany;D;Luxembourg;LUX;5;1964
14134;FINAL;Switzerland;CH;Monaco;MC;1;1964
14135;FINAL;Yugoslavia;YUG;Monaco;MC;3;1964
14136;FINAL;Belgium;B;Monaco;MC;3;1964
14137;FINAL;Luxembourg;LUX;Monaco;MC;3;1964
14138;FINAL;France;F;Monaco;MC;5;1964
14139;FINAL;Finland;SF;Norway;N;1;1964
14140;FINAL;Denmark;DK;Norway;N;5;1964
14141;FINAL;Italy;I;Spain;E;1;1964
14142;FINAL;United Kingdom;UK;The Netherlands;NL;1;1964
14143;FINAL;Denmark;DK;The Netherlands;NL;1;1964
14144;FINAL;The Netherlands;NL;United Kingdom;UK;1;1964
14145;FINAL;Germany;D;United Kingdom;UK;1;1964
14146;FINAL;Austria;AUT;United Kingdom;UK;1;1964
14147;FINAL;France;F;United Kingdom;UK;1;1964
14148;FINAL;Finland;SF;United Kingdom;UK;3;1964
14149;FINAL;Switzerland;CH;United Kingdom;UK;5;1964
14150;FINAL;Norway;N;United Kingdom;UK;5;1964
14151;FINAL;United Kingdom;UK;Austria;AUT;3;1965
14152;FINAL;Italy;I;Austria;AUT;3;1965
14153;FINAL;Portugal;POR;Austria;AUT;5;1965
14154;FINAL;Ireland;IRL;Austria;AUT;5;1965
14155;FINAL;Sweden;S;Denmark;DK;5;1965
14156;FINAL;Luxembourg;LUX;Denmark;DK;5;1965
14157;FINAL;Finland;SF;France;F;1;1965
14158;FINAL;Ireland;IRL;France;F;1;1965
14159;FINAL;The Netherlands;NL;France;F;1;1965
14160;FINAL;Luxembourg;LUX;France;F;3;1965
14161;FINAL;Germany;D;France;F;3;1965
14162;FINAL;Spain;E;France;F;3;1965
14163;FINAL;Monaco;MC;France;F;5;1965
14164;FINAL;Yugoslavia;YUG;France;F;5;1965
14165;FINAL;Portugal;POR;Ireland;IRL;3;1965
14166;FINAL;Yugoslavia;YUG;Ireland;IRL;3;1965
14167;FINAL;Italy;I;Ireland;IRL;5;1965
14168;FINAL;Luxembourg;LUX;Italy;I;1;1965
14169;FINAL;United Kingdom;UK;Italy;I;1;1965
14170;FINAL;Germany;D;Italy;I;1;1965
14171;FINAL;France;F;Italy;I;3;1965
14172;FINAL;Belgium;B;Italy;I;3;1965
14173;FINAL;Monaco;MC;Italy;I;3;1965
14174;FINAL;The Netherlands;NL;Italy;I;3;1965
14175;FINAL;Spain;E;Luxembourg;LUX;1;1965
14176;FINAL;Sweden;S;Luxembourg;LUX;1;1965
14177;FINAL;Denmark;DK;Luxembourg;LUX;1;1965
14178;FINAL;Norway;N;Luxembourg;LUX;3;1965
14179;FINAL;Switzerland;CH;Luxembourg;LUX;3;1965
